vykon_FVE_instalovany_kWp,kapacita_baterie_kWh,spotreba_celkova_kWh,vyroba_FVE_celkova_kWh,vlastni_spotreba_z_FVE_kWh,E_do_baterie_kWh,E_z_baterie_kWh,import_ze_site_kWh,export_do_site_kWh,sobestacnost_pct,podil_pretoku_pct,Rocni_naklad_Kc,Uspora_Kc,Rocni_uspora_po_amortizaci_Kc,Investice_Kc,Dotace_NZU_Kc,Investice_po_dotaci_Kc,Navratnost_roky
10.0,20.0,5436.305,11118.8,1534.225,2523.11,2390.386,1511.694,6928.67,72.19,62.31,21389,35865.0,16665.0,500000,140000,360000,10.0
10.0,15.0,5436.305,11118.8,1534.225,2393.211,2271.103,1630.977,7065.406,70.0,63.54,18319,35235.0,19735.0,450000,140000,310000,8.8
10.0,10.0,5436.305,11118.8,1534.225,2105.877,1998.136,1903.944,7367.862,64.98,66.26,17609,33778.0,20445.0,420000,140000,280000,8.3
9.0,20.0,5436.305,10006.92,1506.239,2456.367,2328.044,1602.022,5915.031,70.53,59.11,22363,33713.0,15691.0,470000,140000,330000,9.8
9.0,15.0,5436.305,10006.92,1506.239,2328.517,2210.392,1719.674,6049.611,68.37,60.45,19297,33091.0,18758.0,420000,140000,280000,8.5
9.0,10.0,5436.305,10006.92,1506.239,2056.199,1951.691,1978.375,6336.261,63.61,63.32,18524,31710.0,19530.0,390000,140000,250000,7.9
8.0,20.0,5436.305,8895.04,1473.224,2380.91,2259.599,1703.482,4915.595,68.66,55.26,24014,31503.0,14040.0,456000,140000,316000,10.0
8.0,15.0,5436.305,8895.04,1473.224,2256.775,2142.987,1820.094,5046.264,66.52,56.73,20952,30883.0,17102.0,406000,140000,266000,8.6
10.0,5.0,5436.305,11118.8,1534.225,1428.031,1355.406,2546.674,8081.385,53.15,72.68,17547,30349.0,20507.0,370000,140000,230000,7.6
8.0,10.0,5436.305,8895.04,1473.224,1998.437,1897.565,2065.516,5318.199,62.01,59.79,20114,29573.0,17940.0,376000,140000,236000,8.0
7.0,20.0,5436.305,7783.16,1433.782,2270.393,2156.673,1845.85,3959.491,66.05,50.87,25146,29072.0,12908.0,424000,140000,284000,9.8
7.0,15.0,5436.305,7783.16,1433.782,2172.309,2063.494,1939.029,4062.736,64.33,52.2,21972,28575.0,16083.0,374000,140000,234000,8.2
9.0,5.0,5436.305,10006.92,1506.239,1408.562,1336.911,2593.155,7017.985,52.3,70.13,18351,28429.0,19704.0,340000,140000,200000,7.0
7.0,10.0,5436.305,7783.16,1433.782,1927.891,1831.296,2171.227,4320.019,60.06,55.5,21077,27336.0,16977.0,344000,140000,204000,7.5
6.0,20.0,5436.305,6671.28,1385.165,2141.646,2034.563,2016.577,3031.751,62.91,45.44,26397,26486.0,11657.0,392000,140000,252000,9.5
8.0,5.0,5436.305,8895.04,1473.224,1387.203,1316.893,2646.188,5961.603,51.32,67.02,20219,26473.0,17836.0,326000,130000,196000,7.4
6.0,15.0,5436.305,6671.28,1385.165,2061.221,1958.16,2092.98,3116.408,61.5,46.71,23139,26078.0,14915.0,342000,140000,202000,7.7
6.0,10.0,5436.305,6671.28,1385.165,1846.545,1754.218,2296.922,3342.383,57.75,50.1,22106,24989.0,15948.0,312000,140000,172000,6.9
7.0,5.0,5436.305,7783.16,1433.782,1360.449,1292.226,2710.297,4917.326,50.14,63.18,21468,24458.0,16587.0,294000,120000,174000,7.1
5.0,20.0,5436.305,5559.4,1323.381,1959.421,1861.45,2251.474,2173.47,58.58,39.1,27945,23554.0,10110.0,360000,140000,220000,9.3
5.0,15.0,5436.305,5559.4,1323.381,1894.092,1799.387,2313.537,2242.238,57.44,40.33,24611,23223.0,13443.0,310000,140000,170000,7.3
10.0,0.0,5436.305,11118.8,1534.225,0.0,0.0,3902.08,9584.575,28.22,86.2,24938,23116.0,13116.0,300000,0,300000,13.0
5.0,10.0,5436.305,5559.4,1323.381,1736.423,1649.602,2463.322,2408.206,54.69,43.32,23298,22423.0,14757.0,280000,140000,140000,6.2
6.0,5.0,5436.305,6671.28,1385.165,1323.363,1257.195,2793.945,3893.101,48.61,58.36,22815,22336.0,15239.0,262000,110000,152000,6.8
9.0,0.0,5436.305,10006.92,1506.239,0.0,0.0,3930.066,8500.681,27.71,84.95,25759,21295.0,12295.0,270000,0,270000,12.7
4.0,20.0,5436.305,4447.52,1243.327,1727.621,1641.24,2551.738,1385.644,53.06,31.16,30333,20270.0,7721.0,340000,140000,200000,9.9
5.0,5.0,5436.305,5559.4,1323.381,1267.241,1203.879,2909.045,2902.081,46.49,52.2,24322,20044.0,13732.0,230000,100000,130000,6.5
4.0,15.0,5436.305,4447.52,1243.327,1669.904,1586.409,2606.569,1446.399,52.05,32.52,26956,19978.0,11098.0,290000,140000,150000,7.5
4.0,10.0,5436.305,4447.52,1243.327,1566.758,1488.42,2704.558,1554.974,50.25,34.96,25369,19455.0,12685.0,260000,140000,120000,6.2
8.0,0.0,5436.305,8895.04,1473.224,0.0,0.0,3963.081,7421.816,27.1,83.44,27142,19445.0,10912.0,256000,0,256000,13.2
7.0,0.0,5436.305,7783.16,1433.782,0.0,0.0,4002.523,6349.378,26.37,81.58,27960,17561.0,10094.0,224000,0,224000,12.8
4.0,5.0,5436.305,4447.52,1243.327,1188.441,1129.019,3063.959,1953.203,43.64,43.92,26518,17536.0,11536.0,210000,90000,120000,6.8
3.0,20.0,5436.305,3335.64,1130.726,1457.396,1384.526,2921.053,670.813,46.27,20.11,32351,16613.0,5703.0,305000,140000,165000,9.9
3.0,15.0,5436.305,3335.64,1130.726,1417.291,1346.427,2959.152,713.028,45.57,21.38,28860,16410.0,9194.0,255000,140000,115000,7.0
3.0,10.0,5436.305,3335.64,1130.726,1329.597,1263.117,3042.462,805.338,44.03,24.14,27789,15965.0,10265.0,225000,130000,95000,6.0
6.0,0.0,5436.305,6671.28,1385.165,0.0,0.0,4051.14,5286.115,25.48,79.24,28829,15625.0,9225.0,192000,0,192000,12.3
3.0,5.0,5436.305,3335.64,1130.726,1058.458,1005.535,3300.044,1090.748,39.3,32.7,28531,14590.0,9523.0,175000,80000,95000,6.5
5.0,0.0,5436.305,5559.4,1323.381,0.0,0.0,4112.924,4236.019,24.34,76.2,29770,13618.0,8284.0,160000,0,160000,11.7
4.0,0.0,5436.305,4447.52,1243.327,0.0,0.0,4192.978,3204.193,22.87,72.04,31211,11510.0,6843.0,140000,0,140000,12.2
3.0,0.0,5436.305,3335.64,1130.726,0.0,0.0,4305.579,2204.914,20.8,66.1,32332,9222.0,5722.0,105000,0,105000,11.4
